first_air_date,id,name,origin_country,original_language,overview,poster_path,vote_average,genre_1,genre_2
1999-01-31,1434,Family Guy,['US'],en,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",https://image.tmdb.org/t/p/original/hw2vi8agaJZ7oeSvS8uEYgOtK32.jpg,7.3,16,35
1990-09-13,549,Law & Order,['US'],en,"In cases ripped from the headlines, police investigate serious and often deadly crimes, weighing the evidence and questioning the suspects until someone is taken into custody. The district attorney's office then builds a case to convict the perpetrator by proving the person guilty beyond a reasonable doubt. Working together, these expert teams navigate all sides of the complex criminal justice system to make New York a safer place.",https://image.tmdb.org/t/p/original/77OPlbsvX3pzoFbyfpcE3GXMCod.jpg,7.4,80,18
1999-09-20,2734,Law & Order: Special Victims Unit,['US'],en,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",https://image.tmdb.org/t/p/original/ywBt4WKADdMVgxTR1rS2uFwMYTH.jpg,8.0,80,18
2003-09-23,4614,NCIS,['US'],en,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",https://image.tmdb.org/t/p/original/2exOHePjOTquUsbThPGhuEjYTyA.jpg,7.6,80,18
1989-12-17,456,The Simpsons,['US'],en,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",https://image.tmdb.org/t/p/original/vHqeLzYl3dEAutojCO26g0LIkom.jpg,8.0,10751,16
2013-09-23,46952,The Blacklist,['US'],en,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",https://image.tmdb.org/t/p/original/r935SMphvXppx5bJjbIBNx02fwc.jpg,7.6,18,80
2005-03-24,2316,The Office,['US'],en,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",https://image.tmdb.org/t/p/original/7DJKHzAi83BmQrWLrYYOqcoKfhR.jpg,8.6,35,
2005-02-06,1433,American Dad!,['US'],en,"The series focuses on an eccentric motley crew that is the Smith family and their three housemates: Father, husband, and breadwinner Stan Smith; his better half housewife, Francine Smith; their college-aged daughter, Hayley Smith; and their high-school-aged son, Steve Smith. Outside of the Smith family, there are three additional main characters, including Hayley's boyfriend turned husband, Jeff Fischer; the family's man-in-a-goldfish-body pet, Klaus; and most notably the family's zany alien, Roger, who is ""full of masquerades, brazenness, and shocking antics.""",https://image.tmdb.org/t/p/original/xnFFz3etm1vftF0ns8RMHA8XdqT.jpg,6.9,16,35
2021-08-11,91363,What If...?,['US'],en,"Taking inspiration from the comic books of the same name, each episode of this animated anthology series questions, revisits and twists classic Marvel Cinematic moments.",https://image.tmdb.org/t/p/original/rWg4Jk7NwVEz2BtU1aKKDoDJPeB.jpg,8.2,16,10759
1954-09-12,5368,Lassie,['US'],en,"Lassie is the pet of Jeff Miller, an 11-year-old farm boy. The two become best friends and enjoy family adventures in the American countryside, teaching each other about love, nature and commitment.",https://image.tmdb.org/t/p/original/vqbVr4fYRZb28ywczaidn29JJTA.jpg,6.1,10759,18
2012-10-10,44006,Chicago Fire,['US'],en,"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.",https://image.tmdb.org/t/p/original/iiI1YU8akLYWdWuX1qHuMYPvSHC.jpg,8.4,18,
2000-10-06,1431,CSI: Crime Scene Investigation,['US'],en,"A Las Vegas team of forensic investigators are trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.",https://image.tmdb.org/t/p/original/i5hmoRjHNWady4AtAGICTUXknKH.jpg,7.6,80,18
1963-11-23,121,Doctor Who,['GB'],en,"The adventures of The Doctor, a time-traveling humanoid alien known as a Time Lord. He explores the universe in his TARDIS, a sentient time-traveling spaceship. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired. Along with a succession of companions, The Doctor faces a variety of foes while working to save civilizations, help ordinary people, and right many wrongs.",https://image.tmdb.org/t/p/original/xinqAmYrZ1TEwowcQhgTkZVtVE0.jpg,7.9,18,10759
2014-01-08,58841,Chicago P.D.,['US'],en,"A riveting police drama about the men and women of the Chicago Police Department's District 21 who put it all on the line to serve and protect their community. District 21 is made up of two distinctly different groups: the uniformed cops who patrol the beat and go head-to-head with the city's street crimes and the Intelligence Unit that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond.",https://image.tmdb.org/t/p/original/7gtp4lusk685hdmuEXMbYrmSQoY.jpg,8.4,80,18
2014-10-07,60735,The Flash,['US'],en,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",https://image.tmdb.org/t/p/original/lJA2RCMfsWoskqlQhXPSLFQGXEJ.jpg,7.8,18,10765
1964-09-17,4482,Bewitched,['US'],en,"Samantha Stephens is a seemingly normal suburban housewife who also happens to be a genuine witch, with all the requisite magical powers. Her husband Darrin insists that Samantha keep her witchcraft under wraps, but situations invariably require her to indulge her powers while keeping her bothersome mother Endora at bay.",https://image.tmdb.org/t/p/original/7UZVO1SclbgVWM2ELrwWGaS7i94.jpg,7.9,10765,35
2001-10-16,4604,Smallville,['US'],en,The origins of the world’s greatest hero–from Krypton refugee Kal-el’s arrival on Earth through his tumultuous teen years to Clark Kent’s final steps toward embracing his destiny as the Man of Steel.,https://image.tmdb.org/t/p/original/pUhJGETy2sec4vEkiqJ9eGeIywc.jpg,8.2,10765,10759
1997-01-12,2122,King of the Hill,['US'],en,"Set in Texas, this animated series follows the life of propane salesman Hank Hill, who lives with his overly confident substitute Spanish teacher wife Peggy, wannabe comedian son Bobby, and naive niece Luanne. Hank has conservative views about God, family, and country, but his values and ethics are often challenged by the situations he, his family, and his beer-drinking neighbors/buddies find themselves in.",https://image.tmdb.org/t/p/original/3MnkwPdqQ4if7HL4rYTy6eUyq8q.jpg,7.3,16,35
2005-09-22,4057,Criminal Minds,['US'],en,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",https://image.tmdb.org/t/p/original/7TCwgX7oQKxcWYEhSPRmaHe6ULN.jpg,8.3,80,18
1993-09-16,3452,Frasier,['US'],en,"After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio psychiatrist after his policeman father gets shot in the hip on duty.",https://image.tmdb.org/t/p/original/gYAb6GCVEFsU9hzMCG5rxaxoIv3.jpg,7.7,35,10751
2002-09-26,2593,Without a Trace,['US'],en,The series follows the ventures of a Missing Persons Unit of the FBI in New York City.,https://image.tmdb.org/t/p/original/iNhE283iY7xtS8zCjhSxpTfOzn0.jpg,7.4,80,9648
1968-09-21,4660,Adam-12,['US'],en,"Adam-12 is a television police drama that followed two police officers of the Los Angeles Police Department, Pete Malloy and Jim Reed, as they patrolled the streets of Los Angeles in their patrol unit, 1-Adam-12.",https://image.tmdb.org/t/p/original/9hY1H8A6sPghNNHPQJYMgJYpemZ.jpg,7.1,80,18
2005-03-27,1416,Grey's Anatomy,['US'],en,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,https://image.tmdb.org/t/p/original/daSFbrt8QCXV2hSwB0hqYjbj681.jpg,8.3,18,
2008-09-23,5920,The Mentalist,['US'],en,"Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.",https://image.tmdb.org/t/p/original/acYXu4KaDj1NIkMgObnhe4C4a0T.jpg,8.4,80,18
2008-10-03,4194,Star Wars: The Clone Wars,['US'],en,"Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",https://image.tmdb.org/t/p/original/e1nWfnnCVqxS2LeTO3dwGyAsG2V.jpg,8.5,10759,16
2010-09-20,32798,Hawaii Five-0,['US'],en,"Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua.",https://image.tmdb.org/t/p/original/sIdCKlmM2nU4akIvFQaAIiU8YES.jpg,7.7,80,18
2009-04-09,8592,Parks and Recreation,['US'],en,"Hilarious ensemble comedy that follows Leslie Knope, a mid-level bureaucrat in the Parks and Recreation Department of Pawnee, Indiana, and her tireless efforts to make her quintessentially American town just a little bit more fun.",https://image.tmdb.org/t/p/original/dDuzrl9rUIBYieZjqmtNCdncrmZ.jpg,8.0,35,
2017-07-17,72879,Tomorrow Is Ours,['FR'],fr,"The story revolves around the people of Sète, France. Their lives are punctuated by family rivalries, romance and scenes from daily life, but also by plots involving police investigations, secrets and betrayals.",https://image.tmdb.org/t/p/original/3uU5uJzOX7xe7mn7YKpBM9oiEZO.jpg,6.1,80,18
2003-09-22,2691,Two and a Half Men,['US'],en,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,https://image.tmdb.org/t/p/original/A9QDK4OWpv41W27kCv0LXe30k9S.jpg,7.5,35,18
1995-09-23,4376,JAG,['US'],en,"Harmon ""Harm"" Rabb Jr. is a former pilot turned lawyer working for the military's JAG (Judge Advocate General) division, the elite legal wing of officers that prosecutes and defends those accused of military-related crimes. He works closely with Lt. Col. Sarah Mackenzie, and together they do what needs to be done to find the truth.",https://image.tmdb.org/t/p/original/zPyHpkJZ5O08lbgrQQIROXtb3xz.jpg,7.3,18,10759
2017-09-25,71712,The Good Doctor,['US'],en,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",https://image.tmdb.org/t/p/original/luhKkdD80qe62fwop6sdrXK9jUT.jpg,8.5,18,
2011-10-23,39272,Once Upon a Time,['US'],en,"There is a town in Maine where every story book character you've ever known is trapped between two worlds, victims of a powerful curse. Only one knows the truth and only one can break the spell.

Emma Swan is a 28-year-old bail bonds collector who has been supporting herself since she was abandoned as a baby. Things change for her when her son Henry, whom she abandoned years ago, finds her and asks for her help explaining that she is from a different world where she is Snow White's missing daughter.",https://image.tmdb.org/t/p/original/49qD372jeHUTmdNMGJkjCFZdv9y.jpg,7.3,18,10765
2015-12-08,73362,The Ladies' Paradise,['IT'],it,"Follow Teresa Iorio, a young woman who leaves her rural Sicilian hometown for Milan to find work--and much more--at a newly opened department store: The Ladies' Paradise.",https://image.tmdb.org/t/p/original/7k0D1feQhS59O2k8xkf5UR19LUi.jpg,7.6,35,10766
2007-10-14,14814,Keeping Up with the Kardashians,['US'],en,"A peek inside the exploits and privileged private lives of the blended Kardashian-Jenner family, including sisters Kim, Kourtney and Khloé.",https://image.tmdb.org/t/p/original/nddXOC8wYpIDv7giLzjjqIg8WDA.jpg,7.5,10764,
2020-10-03,95479,Jujutsu Kaisen,['JP'],ja,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",https://image.tmdb.org/t/p/original/hFWP5HkbVEe40hrXgtCeQxoccHE.jpg,8.6,16,10759
2005-08-04,2710,It's Always Sunny in Philadelphia,['US'],en,"Four egocentric friends run a neighborhood Irish pub in Philadelphia and try to find their way through the adult world of work and relationships. Unfortunately, their warped views and precarious judgments often lead them to trouble, creating a myriad of uncomfortable situations that usually only get worse before they get better.",https://image.tmdb.org/t/p/original/pRWO6ufqSNkWvPXDDQhBwPNSv4K.jpg,8.3,35,
2007-09-08,5371,iCarly,['US'],en,"Watch Carly, Sam, and Freddie, as they try to balance their everyday 8th grade lives with their newfound fame managing and starring in the most awesome show on the web.",https://image.tmdb.org/t/p/original/9YvPEnzJ0Q1YEGV3Tr4R3ORcwj1.jpg,8.0,35,10751
1998-09-21,4454,Will & Grace,['US'],en,"Will Truman and Grace Adler are best friends living in New York, and when Grace's engagement falls apart, she moves in with Will. Together, along with their friends, they go through the trials of dating, sex, relationships and their careers, butting heads at times but ultimately supporting one another while exchanging plenty of witty banter along the way.",https://image.tmdb.org/t/p/original/m2AWZDAHesXDmLwVm73BpGlP55a.jpg,6.9,35,
2015-10-26,62688,Supergirl,['US'],en,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism.",https://image.tmdb.org/t/p/original/vqBsgL9nd2v04ZvCqPzwtckDdFD.jpg,7.3,18,10765
2001-03-30,4630,The Fairly OddParents,"['US', 'CA']",en,"The zany, fast-paced adventures of a 10-year-old boy and his fairy godparents, who inadvertently create havoc as they grant wishes for their pint-sized charge.",https://image.tmdb.org/t/p/original/3ryMj7tIvVtiXyI2tLvHYTjOjq4.jpg,7.6,16,35
2014-04-14,50035,Clarence,['US'],en,"In a world of noise, Clarence is a jar of sunshine, pure and simple. He sees the world only in his favorite colors: goofy grape and neon green. Clarence values his friends Jeff and Sumo and his mother Mary more than gold. No matter what happens, good or bad, nothing brings Clarence down.",https://image.tmdb.org/t/p/original/rUWNAR3FlJDFRabvCBDNA3ryZJw.jpg,7.8,16,35
1998-09-21,4238,The King of Queens,['US'],en,"Life’s good for deliveryman Doug Heffernan, until his newly widowed father-in-law, Arthur, moves in with him and his wife Carrie. Doug is no longer the king of his domain, and instead of having a big screen television in his recently renovated basement, he now has a crazy old man.",https://image.tmdb.org/t/p/original/bhkkaLKrOdqmEtXHugY1uRCdZNg.jpg,7.1,35,
2012-03-23,46262,Doc McStuffins,['US'],en,A young African-American girl aspires to be a doctor like her mom.,https://image.tmdb.org/t/p/original/eeGWJaFkxX0vvOFFpNFXrh9QVxl.jpg,5.9,16,10762
2004-09-22,4607,Lost,['US'],en,"Stripped of everything, the survivors of a horrific plane crash  must work together to stay alive. But the island holds many secrets.",https://image.tmdb.org/t/p/original/og6S0aTZU6YUJAbqxeKjCa3kY1E.jpg,8.0,9648,10759
1993-09-10,4087,The X-Files,['US'],en,"The exploits of FBI Special Agents Fox Mulder and Dana Scully who investigate X-Files: marginalized, unsolved cases involving paranormal phenomena. Mulder believes in the existence of aliens and the paranormal while Scully, a skeptic, is assigned to make scientific analyses of Mulder's discoveries that debunk Mulder's work and thus return him to mainstream cases.",https://image.tmdb.org/t/p/original/5BD0kiTGnDxONqdrsswTewnk6WH.jpg,8.4,10765,9648
1957-09-22,953,Maverick,['US'],en,"Maverick is an American Western television series with comedic overtones created by Roy Huggins. The show ran from September 22, 1957 to July 8, 1962 on ABC and stars James Garner as Bret Maverick, an adroitly articulate cardsharp. Eight episodes into the first season, he was joined by Jack Kelly as his brother Bart, and from that point on, Garner and Kelly alternated leads from week to week, sometimes teaming up for the occasional two-brother episode. The Mavericks were poker players from Texas who traveled all over the American Old West and on Mississippi riverboats, constantly getting into and out of life-threatening trouble of one sort or another, usually involving money, women, or both. They would typically find themselves weighing a financial windfall against a moral dilemma. More often than not, their consciences trumped their wallets since both Mavericks were intensely ethical.

When Garner left the series after the third season due to a legal dispute, Roger Moore was added to the cast as their cousin Beau Maverick. Robert Colbert appeared later in the fourth season as a third Maverick brother, Brent Maverick. No more than two of the series leads ever appeared together in the same episode, and usually only one.",https://image.tmdb.org/t/p/original/psVbZjMHt9f9X7EIks9IQdCMZke.jpg,7.1,35,37
1997-07-27,4629,Stargate SG-1,"['CA', 'US']",en,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",https://image.tmdb.org/t/p/original/dQjmI7XxI47v8IM2MUysHG0LuU2.jpg,8.2,10765,10759
2001-10-02,4556,Scrubs,['US'],en,"In the unreal world of Sacred Heart Hospital, John ""J.D."" Dorian learns the ways of medicine, friendship and life.",https://image.tmdb.org/t/p/original/u1z05trCA7AuSuDhi365grwdos1.jpg,8.0,35,
2005-09-13,1622,Supernatural,['US'],en,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",https://image.tmdb.org/t/p/original/KoYWXbnYuS3b0GyQPkbuexlVK9.jpg,8.3,18,9648
2023-08-28,226773,Senior High,['PH'],tl,"A student’s death causes a scandal at the prestigious Northford High. Investigations conclude it was a suicide. The victim’s twin sister thinks otherwise. As she searches for truth, she will unravel secrets that are far more shocking and dangerous.",https://image.tmdb.org/t/p/original/k285iD6gZIoLsVSczSjc4WIXkdc.jpg,7.5,18,9648
2015-11-17,62650,Chicago Med,['US'],en,"An emotional thrill ride through the day-to-day chaos of the city's most explosive hospital and the courageous team of doctors who hold it together. They will tackle unique new cases inspired by topical events, forging fiery relationships in the pulse-pounding pandemonium of the emergency room.",https://image.tmdb.org/t/p/original/gHP1tbA9XZ8rQTwgNpNKP8p3H9Z.jpg,8.3,18,
2013-09-24,49009,The Goldbergs,['US'],en,"Before there were parenting blogs, trophies for showing up, and peanut allergies, there was a simpler time called the '80s. For geeky 11-year old Adam these were his wonder years and he faced them armed with a video camera to capture all the crazy. The Goldbergs are a loving family like any other, just with a lot more yelling.",https://image.tmdb.org/t/p/original/pZyaKyry0V1muunoTt6pZ6cLduR.jpg,7.7,10751,35
2011-09-22,1411,Person of Interest,['US'],en,"John Reese, former CIA paramilitary operative, is presumed dead and teams up with reclusive billionaire Finch to prevent violent crimes in New York City by initiating their own type of justice. With the special training that Reese has had in Covert Operations and Finch's genius software inventing mind, the two are a perfect match for the job that they have to complete. With the help of surveillance equipment, they work ""outside the law"" and get the right criminal behind bars. ",https://image.tmdb.org/t/p/original/6FuKOyJgViZXgMDOq9djFJLWPqX.jpg,8.1,18,10759
2018-08-27,81329,Chronicles of the Sun,['FR'],fr,,https://image.tmdb.org/t/p/original/t6jVlbPMtZOJoAOfeoR4yQmnjXM.jpg,7.5,10766,
1987-04-05,4239,Married... with Children,['US'],en,"Al Bundy is an unsuccessful middle aged shoe salesman with a miserable life and an equally dysfunctional family. He hates his job, his wife is lazy, his son is dysfunctional (especially with women), and his daughter is dim-witted and promiscuous.",https://image.tmdb.org/t/p/original/qxdOgESOkBMmfcWUizL01mbdqzl.jpg,7.7,35,18
2012-09-28,51817,Teenage Mutant Ninja Turtles,['US'],en,"The Teenage Mutant Ninja Turtles are back in an all-new animated series on Nickelodeon! Surfacing topside for the first time on their fifteenth birthday, the titular turtles, Leonardo, Michelangelo, Raphael and Donatello, find that life out of the sewers isn't exactly what they thought it would be. Now the turtles must work together as a team to take on new enemies that arise to take over New York City.",https://image.tmdb.org/t/p/original/AOzcRvrIe0lD86x93quSZbucx2.jpg,8.3,10759,16
2017-01-26,69050,Riverdale,['US'],en,"Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.",https://image.tmdb.org/t/p/original/c1ROxK1Afo6YuGi3j6ClXmrNcHi.jpg,8.5,80,18
2013-12-02,60625,Rick and Morty,['US'],en,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",https://image.tmdb.org/t/p/original/gdIrmf2DdY5mgN6ycVP0XlzKzbE.jpg,8.7,16,35
1997-04-01,60572,Pokémon,['JP'],ja,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",https://image.tmdb.org/t/p/original/rOuGm07PxBhEsK9TaGPRQVJQm1X.jpg,7.8,16,10759
1957-09-18,6081,Wagon Train,['US'],en,"The series initially starred veteran movie supporting actor Ward Bond as the wagon master, later replaced upon his death by John McIntire, and Robert Horton as the scout, subsequently replaced by lookalike Robert Fuller a year after Horton had decided to leave the series.

The series was inspired by the 1950 film Wagon Master directed by John Ford and starring Ben Johnson, Harry Carey Jr. and Ward Bond, and harkens back to the early widescreen wagon train epic The Big Trail starring John Wayne and featuring Bond in his first major screen appearance playing a supporting role. Horton's buckskin outfit as the scout in the first season of the television series resembles Wayne's, who also played the wagon train's scout in the earlier film.",https://image.tmdb.org/t/p/original/csC6kMTKWmOcy9nKZEgdwd7Frb9.jpg,6.7,37,18
2010-10-10,33765,My Little Pony: Friendship Is Magic,"['CA', 'US']",en,"Journey to the enchanted land of Equestria, where unicorn Twilight Sparkle and her pals have adventures and learn valuable lessons about friendship.",https://image.tmdb.org/t/p/original/fwW7WgJIjhBsnzk87Gyh6g9187m.jpg,8.1,16,35
1993-10-29,2625,Diagnosis: Murder,['US'],en,"Dr. Mark Sloan is a good-natured, offbeat physician who is called upon to solve murders.",https://image.tmdb.org/t/p/original/5yhozeY2KgYXQQE9kfbiIyypYiI.jpg,7.2,18,10751
1994-09-22,1668,Friends,['US'],en,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",https://image.tmdb.org/t/p/original/2koX1xLkpTQM4IZebYvKysFW1Nh.jpg,8.4,35,
1989-04-26,12971,Dragon Ball Z,['JP'],ja,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.",https://image.tmdb.org/t/p/original/jB9l4mp0bzBgzE5y4tvBH6AMeMk.jpg,8.3,16,10765
2014-10-13,61418,Jane the Virgin,['US'],en,"A comedy-drama following a chaste young woman who is accidentally impregnated via artificial insemination as she struggles to inform her devoutly religious family and make the right choices concerning the child. Based on the telenovela ""Juana la virgen.""",https://image.tmdb.org/t/p/original/DRRHgvsNEfBloMgIP8bBw4zi4E.jpg,8.0,35,18
2000-10-15,4546,Curb Your Enthusiasm,['US'],en,"The off-kilter, unscripted comic vision of Larry David, who plays himself in a parallel universe in which he can't seem to do anything right, and, by his standards, neither can anyone else.",https://image.tmdb.org/t/p/original/tMKxFUneUgHFdId4DPuL05Khjqk.jpg,8.1,35,
2013-09-17,48891,Brooklyn Nine-Nine,['US'],en,"A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss.",https://image.tmdb.org/t/p/original/hgRMSOt7a1b8qyQR68vUixJPang.jpg,8.2,35,80
2005-09-13,1911,Bones,['US'],en,"Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.",https://image.tmdb.org/t/p/original/eyTu5c8LniVciRZIOSHTvvkkgJa.jpg,8.3,80,18
2005-10-13,206559,Binnelanders,['ZA'],af,"A South African Afrikaans soap opera. It is set in and around the fictional private hospital, Binneland Kliniek, in Pretoria, and the storyline follows the trials, trauma and tribulations of the staff and patients of the hospital.",https://image.tmdb.org/t/p/original/v9nGSRx5lFz6KEgfmgHJMSgaARC.jpg,5.6,10766,
2011-01-09,32726,Bob's Burgers,['US'],en,"Bob's Burgers follows a third-generation restaurateur, Bob, as he runs Bob's Burgers with the help of his wife and their three kids. Bob and his quirky family have big ideas about burgers, but fall short on service and sophistication. Despite the greasy counters, lousy location and a dearth of customers, Bob and his family are determined to make Bob's Burgers ""grand re-re-re-opening"" a success.",https://image.tmdb.org/t/p/original/couFnWryh9JRmmfDyPU6hUyTKIa.jpg,7.8,16,35
1971-04-03,2661,Kamen Rider,['JP'],ja,"Hongo Takeshi is a promising young man with a passion for motorcycle racing. However, his dreams are suddenly ruined when he gets kidnapped by Shocker, the evil secret organisation planning to dominate the world. After being remodeled into a cyborg, Takeshi escapes and swears to protect the world from the inhuman monsters.",https://image.tmdb.org/t/p/original/fIJNVBa6MJStPiOvhLV69nAdu0e.jpg,6.1,10759,10765
2005-05-30,2370,Hell's Kitchen,['US'],en,Aspiring restaurateurs brave Ramsay and his fiery command of the kitchen as he puts the competitors through an intense culinary academy to prove they possess the right combination of ingredients to win a life-changing grand prize.,https://image.tmdb.org/t/p/original/shOVFku8daIGRpgjTdMZBxUAvsV.jpg,6.9,10764,
2010-09-24,32692,Blue Bloods,['US'],en,"A drama about a multi-generational family of cops dedicated to New York City law enforcement. Frank Reagan is the New York Police Commissioner and heads both the police force and the Reagan brood. He runs his department as diplomatically as he runs his family, even when dealing with the politics that plagued his unapologetically bold father, Henry, during his stint as Chief.",https://image.tmdb.org/t/p/original/ceqomvL0e1jGkJAPVWFlq2hGl7i.jpg,7.8,18,80
1998-09-26,4397,V.I.P.,"['US', 'DE']",en,"While attending a Hollywood premiere with a famous action star, a crazed fan pulls a gun—but her movie hunk turns into a coward, and it's Vallery who becomes the hero. Suddenly, she's thrown into a world of action and danger as owner of a Hollywood protection agency, Vallery Irons Protection (V.I.P.), taking risks to protect others at a price few are willing to pay.",https://image.tmdb.org/t/p/original/2pHBPVGn2DpYEAHBdT62nc0untt.jpg,5.2,10759,35
2021-08-30,132544,Great Minds,['KR'],ko,,https://image.tmdb.org/t/p/original/lj46PSaBziqCqbGXlmnXN325biA.jpg,4.6,10767,99
