first_air_date,id,name,origin_country,original_language,overview,poster_path,vote_average,genre_1,genre_2
1995-09-04,4616,Xena: Warrior Princess,['US'],en,"Xena is an infamous warrior on a quest to seek redemption for her past sins against the innocent. Accompanied her comrade-in-arms Gabrielle, the campy couple use their formidable fighting skills to help those who are unable to defend themselves.",https://image.tmdb.org/t/p/original/qjUn6GVZVDifLHB7bvVrgZsOfzE.jpg,7.6,18,10759
1996-09-21,2651,Profiler,['US'],en,"Profiler is an American crime drama that aired on NBC from 1996 to 2000. The series follows the exploits of a criminal profiler working with the FBI's fictional Violent Crimes Task Force based in Atlanta, Georgia.

Ally Walker starred as profiler Dr. Samantha Waters during the first three seasons, and was later replaced by Jamie Luner as profiler Dr. Rachel Burke during the show's final season. Robert Davi, Roma Maffia, Peter Frechette, Erica Gimpel and Julian McMahon co-starred throughout the show's run. Caitlin Wachs played Dr. Waters daughter for the first two seasons, a role taken over by Evan Rachel Wood in 1998.

Profiler shares a similar lead character and premise with the Fox Network series Millennium, created by Chris Carter. Both shows premiered at the beginning of the 1996–97 television season.",https://image.tmdb.org/t/p/original/rZPFS2CRMZOy2LV4hE64KBxAbGg.jpg,7.0,80,18
1984-09-20,634,Who's the Boss?,['US'],en,"A former professional baseball player, along with his preteen daughter, moves into New York advertising executive Angela Bower's house to be both a housekeeper and a father figure to her young son. Tony 's laid-back personality contrasts with Angela's type-A behavior.",https://image.tmdb.org/t/p/original/uZjNwfCNi6lX3jmYAxHB1DUuqcB.jpg,7.6,35,
2015-07-31,62875,BUNK'D,['US'],en,"Siblings Emma, Ravi, and Zuri Ross leave their extravagant New York City penthouse once again to return to Camp Kikiwaka, a rustic summer camp in Maine where their parents met as teenagers.",https://image.tmdb.org/t/p/original/at3gMIGpvoofKMgmsnhVFgmBnAe.jpg,7.2,35,
2016-07-12,67075,Mob Psycho 100,['JP'],ja,"Shigeo Kageyama, a.k.a. ""Mob,"" is a boy who has trouble expressing himself, but who happens to be a powerful esper. Mob is determined to live a normal life and keeps his ESP suppressed, but when his emotions surge to a level of 100%, something terrible happens to him! As he's surrounded by false espers, evil spirits, and mysterious organizations, what will Mob think? What choices will he make?",https://image.tmdb.org/t/p/original/vR7hwaGQ0ySRoq1WobiNRaPs4WO.jpg,8.5,16,10759
2007-09-24,1418,The Big Bang Theory,['US'],en,Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.,https://image.tmdb.org/t/p/original/ooBGRQBdbGzBxAVfExiO8r7kloA.jpg,7.9,35,
1999-08-30,3554,The Parkers,['US'],en,"The Parkers is an American sitcom that aired on UPN from August 30, 1999, to May 10, 2004. A spin-off of UPN's Moesha, The Parkers features the mother-daughter team of Nikki and Kim Parker. The Parkers' signature ""Heeyyy"" greeting became very popular in the early 2000s.",https://image.tmdb.org/t/p/original/vV2wJKLoM3VnHUkNoRHMaLc968c.jpg,8.0,35,
1984-10-11,56387,Fist of the North Star,['JP'],ja,"In the year 199X, human civilization has been all but destroyed by a nuclear holocaust.",https://image.tmdb.org/t/p/original/yypGXmBPvyJiD7pOeD2R3q84FlA.jpg,8.3,10759,16
1986-01-10,4557,Lovejoy,['GB'],en,"The adventures of the eponymous Lovejoy, a likeable but roguish antiques dealer based in East Anglia. Within the trade, he has a reputation as a “divvie”, a person with an almost supernatural powers for recognising exceptional items as well as distinguishing genuine antique from clever fakes or forgeries.",https://image.tmdb.org/t/p/original/u8laLfmd7ZxxIFP3DUaqKnVRMFH.jpg,7.4,35,18
2013-03-03,44217,Vikings,['CA'],en,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",https://image.tmdb.org/t/p/original/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,8.1,10759,18
2018-12-23,87247,Bakugan,"['CA', 'US']",en,Follow the adventures of Dan Kouzo and his best friends: the first kids on Earth to bond with the mysterious creatures known as Bakugan!,https://image.tmdb.org/t/p/original/go2IfyqSK7YJ403tvugctEQgjxQ.jpg,5.7,16,10762
